game_id,game_date,team_name_ko,opp_team_name_ko,wF,wS,wI,dp5_actions,dp5_value,P1_sig,P1_target,P1_stage,P1_benefit,P1_inc_cost,P1_switch_cost,P1_fat_cost,P1_h,P1_l_PTI,P1_l_TSS,P1_l_SGP,P2_sig,P2_target,P2_stage,P2_benefit,P2_inc_cost,P2_switch_cost,P2_fat_cost,P2_h,P2_l_PTI,P2_l_TSS,P2_l_SGP,P3_sig,P3_target,P3_stage,P3_benefit,P3_inc_cost,P3_switch_cost,P3_fat_cost,P3_h,P3_l_PTI,P3_l_TSS,P3_l_SGP,P4_sig,P4_target,P4_stage,P4_benefit,P4_inc_cost,P4_switch_cost,P4_fat_cost,P4_h,P4_l_PTI,P4_l_TSS,P4_l_SGP,P5_sig,P5_target,P5_stage,P5_benefit,P5_inc_cost,P5_switch_cost,P5_fat_cost,P5_h,P5_l_PTI,P5_l_TSS,P5_l_SGP,dpP1,dpP2,dpP3,dpP4,dpP5,mean_abs_sig,dp_actions,dp_value,P1_dp_a,P1_fatigue_cost,P2_dp_a,P2_fatigue_cost,P3_dp_a,P3_fatigue_cost,P4_dp_a,P4_fatigue_cost,P5_dp_a,P5_fatigue_cost
126283,2024-03-01 5:00,울산 HD FC,포항 스틸러스,0.082200535,0.044197965,0.8736015,"[1, 0, 0, 0, 0]",0.189279515,0.640840154,1,0.64,0.64,0,0.0,0.042744633,1.000008294,0,2,0,0.170420077,0,0.17,0.17,0,0.0,0.0,1.000211727,-1,1,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.005378247,-1,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,1,0,0,0,0,0.252252046,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",0.3600000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126284,2024-03-01 7:30,전북 현대 모터스,대전 하나 시티즌,0.070467274,0.031789733,0.897742993,"[1, 1, 1, 1, 1]",2.549698509,1.209159846,1,1.21,1.21,0,0.0,0.036643286,1.000008294,1,0,2,1.359159846,1,1.36,1.36,0,0.0,0.036650741,1.000211727,2,0,2,1.209159846,1,1.21,1.21,0,0.0,0.036840057,1.005378247,1,0,2,0.759159846,1,0.76,0.76,0,0.0,0.041088466,1.121318838,-2,0,2,1.059159846,1,1.06,1.06,0,0.0,0.065188822,1.779026108,0,0,2,1,1,1,1,1,1.119159846,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",5.6000000000000005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126285,2024-03-02 5:00,광주FC,FC서울,0.143064145,0.051850013,0.805085842,"[0, 0, 0, 0, 0]",0.0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.000008294,-2,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.000211727,-1,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.005378247,-2,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,0,0,0,0,0,0.21,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",-1.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126286,2024-03-02 7:30,인천 유나이티드,수원FC,0.021825671,0.025046708,0.953127621,"[1, 1, 1, 1, 1]",2.255824298,0.909159846,1,0.91,0.91,0,0.0,0.011349443,1.000008294,-1,0,2,1.059159846,1,1.06,1.06,0,0.0,0.011351752,1.000211727,0,0,2,0.909159846,1,0.91,0.91,0,0.0,0.011410388,1.005378247,-1,0,2,0.759159846,1,0.76,0.76,0,0.0,0.012726238,1.121318838,-2,0,2,1.059159846,1,1.06,1.06,0,0.0,0.020190788,1.779026108,0,0,2,1,1,1,1,1,0.939159846,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",4.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126287,2024-03-02 7:30,강원FC,제주SK FC,0.061188545,0.03615914,0.902652315,"[0, 0, 0, 0, 0]",0.0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.000008294,-2,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.000211727,-1,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.005378247,-1,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,0,0,0,0,0,0.18,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",-0.8999999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126288,2024-03-03 5:00,대구FC,김천 상무 프로축구단,0.045150323,0.033519007,0.92133067,"[0, 0, 0, 0, 0]",0.0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.000008294,-1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.000211727,0,0,0,0.15,0,0.15,0.15,0,0.0,0.0,1.005378247,1,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,0,0,0,0,0,0.12,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",-0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126289,2024-03-09 5:00,수원FC,전북 현대 모터스,0.236770444,0.050431965,0.712797592,"[1, 1, 1, 0, 1]",0.766298443,0.790840154,1,0.79,0.79,0,0.0,0.123121652,1.000008294,1,2,0,0.790840154,1,0.79,0.79,0,0.0,0.123146699,1.000211727,1,2,0,0.790840154,1,0.79,0.79,0,0.0,0.123782804,1.005378247,1,2,0,0.340840154,0,0.34,0.34,0,0.0,0.0,1.121318838,-2,2,0,0.640840154,1,0.64,0.64,0,0.0,0.219034816,1.779026108,0,2,0,1,1,1,0,1,0.670840154,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",3.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126290,2024-03-09 7:30,포항 스틸러스,대구FC,0.047074022,0.030004919,0.922921058,"[1, 1, 0, 0, 0]",0.950187638,1.059159846,1,1.06,1.06,0,0.0,0.024478695,1.000008294,0,0,2,1.059159846,1,1.06,1.06,0,0.0,0.024483674,1.000211727,0,0,2,0.379579923,0,0.38,0.38,0,0.0,0.0,1.005378247,-1,0,1,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,1,1,0,0,0,0.559579923,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126291,2024-03-09 7:30,김천 상무 프로축구단,울산 HD FC,0.112827578,0.047138162,0.84003426,"[0, 0, 0, 0, 0]",0.0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.000008294,-1,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.000211727,-1,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.005378247,-1,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,0,0,0,0,0,0.15,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",-0.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126292,2024-03-10 5:00,제주SK FC,대전 하나 시티즌,0.066065337,0.041855159,0.892079504,"[0, 0, 0, 0, 0]",0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.000008294,0,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.000211727,-1,0,0,-0.15,0,-0.15,-0.15,0,0.0,0.0,1.005378247,-1,0,0,-0.3,0,-0.3,-0.3,0,0.0,0.0,1.121318838,-2,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.779026108,0,0,0,0,0,0,0,0,0.12,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",-0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
