TeamLabel,wF,wS,wI
FC서울,0.07531262661357759,0.04475789241053726,0.8799294809758851
강원FC,0.06118854486989222,0.03615914035883468,0.9026523147712731
광주FC,0.14306414505674755,0.05185001265719132,0.8050858422860612
김천 상무 프로축구단,0.11282757809091779,0.04713816154474992,0.8400342603643323
대구FC,0.045150322654745105,0.03351900739922973,0.9213306699460252
대전 하나 시티즌,0.02687202701139221,0.023439862296837956,0.9496881106917697
수원FC,0.23677044360431443,0.05043196474121822,0.7127975916544674
울산 HD FC,0.08220053476906362,0.04419796486681492,0.8736015003641214
인천 유나이티드,0.021825670577121075,0.025046708058434747,0.9531276213644442
전북 현대 모터스,0.07046727362040868,0.03178973324287562,0.8977429931367158
제주SK FC,0.06606533726919897,0.04185515892510084,0.8920795038057002
포항 스틸러스,0.04707402244658208,0.030004919405370336,0.9229210581480476
