game_id,team,opponent,dp_action_seq,Directness_P1,Directness_P2,Directness_P3,Directness_P4,Directness_P5,HighTO_P1,HighTO_P2,HighTO_P3,HighTO_P4,HighTO_P5,PPDA_P1,PPDA_P2,PPDA_P3,PPDA_P4,PPDA_P5,PressHeight_P1,PressHeight_P2,PressHeight_P3,PressHeight_P4,PressHeight_P5,Transition_P1,Transition_P2,Transition_P3,Transition_P4,Transition_P5,Route_P1,Route_P2,Route_P3,Route_P4,Route_P5,wF,wS,wI,dp5_value,dp5_actions,home_team_name_ko,away_team_name_ko,home_score,away_score,game_date,result,win,points,a1,a2,a3,a4,a5
126283,울산 HD FC,포항 스틸러스,"[1,0,0,0,0]",8.584886155021833,8.790395015923568,9.226697642857143,14.027309032258062,9.622769816319916,21.0,22.0,12.0,10.0,11.962264150943396,1.875,1.880952380952381,2.25,1.64,1.4147977529383322,53.16366285416667,47.57674762500001,44.79440245,47.46250026,51.78279103647525,0.6136363636363636,0.6222222222222222,0.6929460580912863,0.6181818181818182,0.5041666845125591,PASS_BUILD,PASS_BUILD,PASS_BUILD,MIXED,PASS_BUILD,0.082200535,0.044197965,0.8736015,0.189279515,"[1, 0, 0, 0, 0]",울산 HD FC,포항 스틸러스,1,0,2024-03-01 05:00:00,W,1,3,1,0,0,0,0
126283,포항 스틸러스,울산 HD FC,"[-1,0,0,0,0]",7.68577164090909,6.389477500000002,5.996091367924527,5.842875000000002,9.575361222512688,48.0,53.0,33.0,17.0,11.607843137254902,3.7183098591549295,1.988235294117647,2.8867924528301887,1.1071428571428572,1.5836875249626643,73.45402626760564,72.28623188294118,69.6183627735849,68.153508075,50.85219823770884,0.365079365079365,0.3141592920353982,0.3193717277486911,0.365079365079365,0.5133792013922754,PASS_BUILD,PASS_BUILD,PASS_BUILD,PASS_BUILD,PASS_BUILD,0.047074022,0.030004919,0.922921058,0.241580473,"[-1, 0, 0, 0, 0]",울산 HD FC,포항 스틸러스,1,0,2024-03-01 05:00:00,L,0,0,-1,0,0,0,0
126284,대전 하나 시티즌,전북 현대 모터스,"[-1,-1,-1,-1,0]",7.755608,5.8979801447368425,6.2780367794117655,10.87968875,9.882663886805044,61.0,52.0,55.0,35.0,11.583333333333334,1.9662921348314608,1.8842105263157896,2.0,0.8888888888888888,1.95276205886693,75.71130176966291,67.08059985789477,71.99884089146343,72.5406241388889,51.93318800178657,0.3260869565217391,0.2628205128205128,0.312,0.2545454545454545,0.5593716361373309,PASS_BUILD,PASS_BUILD,PASS_BUILD,MIXED,PASS_BUILD,0.026872027,0.023439862,0.949688111,1.877080516,"[-1, -1, -1, -1, 0]",전북 현대 모터스,대전 하나 시티즌,1,1,2024-03-01 07:30:00,D,0,1,-1,-1,-1,-1,0
126284,전북 현대 모터스,대전 하나 시티즌,"[1,1,1,1,1]",9.772079803977272,8.608317418994412,9.391301008695653,11.4289475,10.626012698759093,31.0,16.0,22.0,17.0,14.0,1.430232558139535,1.1538461538461535,1.048780487804878,0.6031746031746031,0.9138297961827374,52.99588096046512,41.22502280769231,42.34796221463415,48.139534000000005,43.58970377947801,0.6925795053003534,0.7101449275362319,0.664179104477612,0.6582278481012658,0.5061400985813954,PASS_BUILD,PASS_BUILD,PASS_BUILD,MIXED,PASS_BUILD,0.070467274,0.031789733,0.897742993,2.549698509,"[1, 1, 1, 1, 1]",전북 현대 모터스,대전 하나 시티즌,1,1,2024-03-01 07:30:00,D,0,1,1,1,1,1,1
126285,FC서울,광주FC,"[0,0,0,0,0]",5.8713498313953485,8.149421152173913,7.075463301136364,5.986616474999997,9.575361222512688,37.0,44.0,21.0,14.0,11.607843137254902,1.868421052631579,1.962962962962963,1.2835820895522387,0.5714285714285714,1.5836875249626643,61.09736877631578,69.32958037962963,53.39043900671641,51.3518526,50.85219823770884,0.3653136531365313,0.3012820512820512,0.3779527559055118,0.3098591549295774,0.5133792013922754,PASS_BUILD,PASS_BUILD,PASS_BUILD,MIXED,PASS_BUILD,0.075312627,0.044757892,0.879929481,0.0,"[0, 0, 0, 0, 0]",광주FC,FC서울,2,0,2024-03-02 05:00:00,L,0,0,0,0,0,0,0
126285,광주FC,FC서울,"[0,0,0,0,0]",11.378335026639345,10.202012607382551,11.258670862962964,11.222637825,9.622769816319916,15.0,12.0,10.0,4.0,11.962264150943396,2.0105263157894737,1.7627118644067796,2.4347826086956523,0.9743589743589745,1.4147977529383322,36.75909206052631,50.24700930508475,33.97535390869566,25.282390538461534,51.78279103647525,0.5921052631578947,0.6332046332046332,0.678082191780822,0.7105263157894737,0.5041666845125591,PASS_BUILD,PASS_BUILD,MIXED,MIXED,PASS_BUILD,0.143064145,0.051850013,0.805085842,0.0,"[0, 0, 0, 0, 0]",광주FC,FC서울,2,0,2024-03-02 05:00:00,W,1,3,0,0,0,0,0
126286,수원FC,인천 유나이티드,"[0,0,0,0,0]",7.088399047058825,7.864406635135135,7.0977439166666665,6.520408124999999,8.447784614208544,43.0,44.0,67.0,26.0,11.225806451612904,1.9101123595505616,2.388888888888889,2.383720930232558,1.3333333333333333,1.7363286790799803,66.62412441370786,71.28256410624999,79.36607162790698,75.754885675,54.55312939638978,0.4173228346456692,0.3864734299516908,0.2706766917293233,0.2368421052631578,0.4959141981293301,PASS_BUILD,PASS_BUILD,PASS_BUILD,PASS_BUILD,PASS_BUILD,0.236770444,0.050431965,0.712797592,0.0,"[0, 0, 0, 0, 0]",인천 유나이티드,수원FC,0,1,2024-03-02 07:30:00,W,1,3,0,0,0,0,0
126286,인천 유나이티드,수원FC,"[1,1,1,1,1]",9.412100653846156,7.981367837837838,9.115591974093263,8.796596666666666,9.793875270020964,15.0,10.0,14.0,7.0,6.0,1.956043956043956,2.253731343283582,1.1971830985915493,1.0869565217391304,1.757055682684973,44.70949269230769,42.19861235820895,50.28932999999999,49.17031760869565,41.2744552471968,0.6892430278884463,0.6546184738955824,0.6540880503144654,0.6506024096385542,0.6892354846989068,PASS_BUILD,PASS_BUILD,PASS_BUILD,PASS_BUILD,PASS_BUILD,0.021825671,0.025046708,0.953127621,2.255824298,"[1, 1, 1, 1, 1]",인천 유나이티드,수원FC,0,1,2024-03-02 07:30:00,L,0,0,1,1,1,1,1
126287,강원FC,제주SK FC,"[0,0,0,0,0]",11.850550995652174,12.190736552884614,10.260537722340423,11.256636,8.529973358788883,16.0,12.0,15.0,11.0,12.150943396226417,1.797979797979798,1.6612903225806452,1.7386363636363635,0.7631578947368421,1.7003263560778614,37.830643984848486,36.855755322580656,40.42658533295455,44.30696992105263,52.96916417856883,0.6142857142857143,0.6349206349206349,0.7174887892376681,0.6506024096385542,0.4779138699714785,PASS_BUILD,PASS_BUILD,PASS_BUILD,MIXED,PASS_BUILD,0.061188545,0.03615914,0.902652315,0.0,"[0, 0, 0, 0, 0]",강원FC,제주SK FC,1,1,2024-03-02 07:30:00,D,0,1,0,0,0,0,0
126287,제주SK FC,강원FC,"[0,0,0,0,0]",6.616927534482759,5.445199639534883,7.515815333333334,6.207519818181817,8.529973358788883,30.0,46.0,44.0,36.0,12.150943396226417,1.9189189189189189,1.7432432432432432,1.42,0.75,1.7003263560778614,60.424085513513525,67.0909908445946,61.12200926999999,66.7481743359375,52.96916417856883,0.3536121673003802,0.3154362416107382,0.2857142857142857,0.2549019607843137,0.4779138699714785,PASS_BUILD,PASS_BUILD,PASS_BUILD,MIXED,PASS_BUILD,0.066065337,0.041855159,0.892079504,0.0,"[0, 0, 0, 0, 0]",강원FC,제주SK FC,1,1,2024-03-02 07:30:00,D,0,1,0,0,0,0,0
